method,median_abs_z,p90_abs_z,max_abs_z,resolved_count_at_abs_z_ge_2,median_required_signal_amplification_to_z2,minimum_required_signal_amplification_to_z2,median_required_sigma_fraction_to_z2,median_required_variance_fraction_to_z2,sign_accuracy_all,deceptive_negative_fraction,beneficial_positive_fraction,median_z_deceptive,median_z_beneficial
dcs,0.0502368362695058,0.1424445904452196,0.1765438680006307,0,39.832159447383674,11.32862909740289,0.0251184181347529,0.0006309349295922833,0.5833333333333334,0.7857142857142857,0.45454545454545453,-0.04833875182300125,-0.01633509312780925
raw_bundle,0.0499095477459188,0.2819379375621889,0.4061535567688481,0,40.098676097440816,4.9242459327722905,0.0249547738729594,0.000622740739050537,0.6944444444444444,0.35714285714285715,0.9090909090909091,0.024264575587114097,0.06734666563354005
raw_point,0.14707093736228743,0.40526172893466283,0.6314213171695398,0,13.59990735800135,3.1674572042726745,0.07353546868114372,0.005407465154155469,0.7777777777777778,0.6428571428571429,0.8636363636363636,-0.0512694125438184,0.16524880651956952
fisher,0.0663679631040366,0.48510492662821425,0.6314213171695398,0,30.150174372377187,3.1674572042726745,0.0331839815520183,0.001101176631644691,0.6388888888888888,0.2857142857142857,0.8636363636363636,0.0183576150857983,0.10675573916909945
max_motion,0.05773474089993585,0.3984891044487112,0.5750533076545649,0,34.64145387363821,3.4779384334945904,0.028867370449967924,0.0008333250766956813,0.5833333333333334,0.2857142857142857,0.7727272727272727,0.039172235591435,0.08983017699237075
