truth_id,baseline,repair,label,ordinary_improvement_pct,target_change_pct,dcs_progress_z,force_progress_z
1,pic,apic,beneficial,0.010894524555710779,-38.00126782028376,0.05377695943334271,1.1793215359964853
1,constrained_nu,apic,beneficial,5.117903912310143,-11.977508107627362,-0.0007926347704345247,-0.00036624768547124416
1,apic,coarse_apic,beneficial,3.862863073538709,-4.452452178306399,-0.09829875904150376,-0.26914216042230976
1,constrained_nu,pic,deceptive,5.107565832768282,41.974664316072,-0.0508185296781208,-1.1796012342218969
1,pic,coarse_apic,beneficial,3.8733367575283197,-40.76173172174188,0.015186895069633631,0.9502905277319559
1,constrained_nu,coarse_apic,beneficial,8.783069365481031,-15.89666746528888,-0.09315337045974854,-0.26949747580654
2,apic,pic,deceptive,27.6523124594887,28.850946476068767,-0.05927742904196979,-1.0803274569119583
2,constrained_nu,apic,beneficial,0.5760452279777448,-22.45125242083248,0.018131548099347288,0.0018087586374345764
2,apic,coarse_apic,deceptive,2.4628943903319302,5.204407985683314,-0.034099235746896835,-0.26934945601505583
2,constrained_nu,pic,beneficial,28.069067861118068,-0.0777047639051832,-0.04271211499473636,-1.0789492524212425
2,coarse_apic,pic,deceptive,25.82547217462228,22.476756386104448,-0.046715530815088044,-0.8528615770837527
2,constrained_nu,coarse_apic,beneficial,3.0247522327040364,-18.415299209024887,0.011949116803728127,-0.26759602065923044
3,pic,apic,beneficial,14.192845860948527,-45.75370214167153,0.04022573749324844,1.2765430373060862
3,constrained_nu,apic,beneficial,11.846382371306811,-17.712336614943194,0.001458696338540635,-0.00017847015204337416
3,apic,coarse_apic,deceptive,0.2986191592837945,23.120560964139912,-0.026015655498890306,-0.3189941827060995
3,pic,constrained_nu,beneficial,2.6617892183677836,-34.0772411965468,0.05587830911634621,1.2766800181342766
3,pic,coarse_apic,beneficial,14.449082463243913,-33.21165377454778,-0.01737986620618374,1.0072738847884684
3,constrained_nu,coarse_apic,deceptive,12.109625963147867,1.3130327639651018,-0.030020967973326197,-0.3191676083185308
4,pic,apic,beneficial,6.412012661911457,-49.50661994523791,-0.05656128447158404,1.0219278235066651
4,constrained_nu,apic,beneficial,39.856954525502246,-43.018540499194174,-0.01921290270559154,0.0005099366093165886
4,apic,coarse_apic,beneficial,1.1044726989083766,-16.539546016312666,-0.17278867919331833,-0.2659500145622345
4,constrained_nu,pic,deceptive,35.73636191445195,12.849366469440463,0.044118189275145006,-1.0215390026947042
4,pic,coarse_apic,beneficial,7.445666431518473,-57.85799577458693,-0.056633737801508544,0.7980907629471273
4,constrained_nu,coarse_apic,beneficial,40.521218043060124,-52.44301521409652,-0.14613494387816486,-0.2654556056730498
5,apic,pic,deceptive,14.930277726069635,9.032685491125802,-0.11261679766605519,-1.318106327559275
5,apic,constrained_nu,deceptive,8.364179632797644,15.200547881618279,0.005244797712774324,0.0013225363838460407
5,apic,coarse_apic,beneficial,4.784169660636543,-14.922075331964722,-0.06629889403537116,-0.2922152723538904
5,constrained_nu,pic,beneficial,7.165427304475884,-5.3540217506870365,-0.1423240850012788,-1.3191113184383891
5,coarse_apic,pic,deceptive,10.655904621396301,28.156259002037686,-0.03591966702450893,-1.0688078852495617
5,coarse_apic,constrained_nu,deceptive,3.7598894631296194,35.40592149034919,0.11648338174995865,0.29349659319941485
6,pic,apic,beneficial,4.30977589061605,-3.439917735886078,0.13512106411476854,1.0840799372932641
6,constrained_nu,apic,beneficial,41.7967997365911,-23.33210947010707,0.0033056776773902567,-0.0003611642832000921
6,coarse_apic,apic,deceptive,3.4944780225151235,9.167237814058964,0.13615164614715494,0.2874162020206097
6,constrained_nu,pic,beneficial,39.175395600624206,-20.600843814332404,-0.12624156899390096,-1.0843546312765513
6,pic,coarse_apic,beneficial,0.8448199143372737,-11.548479014755696,0.028598669738846293,0.8425608007752048
6,constrained_nu,coarse_apic,beneficial,39.689253971407,-29.770238704327323,-0.09832115000167589,-0.2877660814265838
