frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,measurementGroup
0,adaptive-bounded,24.0425,0.440625,0,0,0,cpu-fallback,100,21,121,394,100,147456,281,113,0,10683,79,2.99268,288,0,0.730964,2.29613e-09,86.39,1,vulkan_cpu_measurements
1,adaptive-bounded,26.0602,0.43375,0,0,0,cpu-fallback,100,21,121,394,100,147456,281,113,0,10681,79,2.99419,288,0,0.730964,2.16797e-09,86.6395,1,vulkan_cpu_measurements
2,adaptive-bounded,24.6537,0.429125,0,0,0,cpu-fallback,100,21,121,394,100,147456,281,113,0,10684,79,2.99575,288,0,0.730964,2.10389e-09,86.7698,1,vulkan_cpu_measurements
