mass,impact_parameter,escaped,closest_approach,deflection_radians,weak_field_radians,integration_steps
1,5,0,0,0,0.80000000000000004,0
1,5.2999999999999998,1,3.4033213119888153,3.5579380424595159,0.75471698113207553,6700
1,6,1,4.4533631938113549,1.7193883102293741,0.66666666666666663,4861
1,8,1,6.7005234822665845,0.858730018082003,0.5,4001
1,16,1,14.886446824893628,0.30997511677556844,0.25,3452
1,32,1,30.948766012256964,0.13799390421078961,0.125,3280
1,100,1,98.984586375429288,0.041222539745079612,0.040000000000000001,3183
