policy,frame,frame_ms,visual_mse,resolution_scale,samples_per_pixel,width,height,frame_ewma_ms,visual_ewma
fixed,0,22.962292000000001,0,1,1,320,180,0,0
fixed,1,13.952833,0,1,1,320,180,0,0
fixed,2,11.707458000000001,0,1,1,320,180,0,0
fixed,3,10.547459,0,1,1,320,180,0,0
fixed,4,9.5760839999999998,0,1,1,320,180,0,0
fixed,5,9.5670000000000002,0,1,1,320,180,0,0
fixed,6,9.9092920000000007,0,1,1,320,180,0,0
fixed,7,9.9034999999999993,0,1,1,320,180,0,0
fixed,8,9.8935840000000006,0,1,1,320,180,0,0
fixed,9,9.4969999999999999,0,1,1,320,180,0,0
fixed,10,9.5279170000000004,0,1,1,320,180,0,0
fixed,11,9.56325,0,1,1,320,180,0,0
fixed,12,9.5749169999999992,0,1,1,320,180,0,0
fixed,13,9.5513329999999996,0,1,1,320,180,0,0
fixed,14,9.7015829999999994,0,1,1,320,180,0,0
fixed,15,9.4917090000000002,0,1,1,320,180,0,0
fixed,16,9.7632499999999993,0,1,1,320,180,0,0
fixed,17,9.5633750000000006,0,1,1,320,180,0,0
fixed,18,9.576333,0,1,1,320,180,0,0
fixed,19,9.5142910000000001,0,1,1,320,180,0,0
fixed,20,9.5821249999999996,0,1,1,320,180,0,0
fixed,21,9.562875,0,1,1,320,180,0,0
fixed,22,9.5402079999999998,0,1,1,320,180,0,0
fixed,23,9.5282909999999994,0,1,1,320,180,0,0
fixed,24,9.5839160000000003,0,1,1,320,180,0,0
fixed,25,9.5860000000000003,0,1,1,320,180,0,0
fixed,26,9.5129999999999999,0,1,1,320,180,0,0
fixed,27,9.6140000000000008,0,1,1,320,180,0,0
fixed,28,9.5779169999999993,0,1,1,320,180,0,0
fixed,29,9.6699999999999999,0,1,1,320,180,0,0
fixed,30,9.5284169999999992,0,1,1,320,180,0,0
fixed,31,9.5269999999999992,0,1,1,320,180,0,0
fixed,32,9.4998749999999994,0,1,1,320,180,0,0
fixed,33,9.5311669999999999,0,1,1,320,180,0,0
