preset_id,frames,samples_per_frame,min_value,max_value,mean_absolute_value,energy_proxy
wave-field,180,512,-0.999999999546763,0.99999999974504195,0.63631131413911424,0.49959616643457871
gravity-potential,180,512,-14.30878339891205,-1.9807502738885534,4.9770790692040618,36.049641690598285
quantum-wavepacket,180,512,-0.87513478833794689,0.99999998031989434,0.23680777096199779,0.13257544338461658
electromagnetic-pulse,180,512,-0.99998690219482467,0.99998690219482467,0.42088927036937707,0.23302979016955688
reaction-diffusion-seed,180,512,6.658361469857315e-07,0.99991194089750279,0.19259275333788481,0.13321804464387096
buoyant-smoke,180,512,1.1253517471925912e-07,0.9999009340549363,0.18069199465000629,0.12529601162685183
nbody-orbits,180,512,-1961.5118700099674,-24.998047103852034,108.75380186198053,61667.810369688814
schwarzschild-lensing,180,512,0.24992191160203064,9.9508296249677173,0.95135308576624489,3.0833809307854443
