frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,measurementGroup
0,instanced,20.1672,0,0,0,0,cpu-fallback,100,3,121,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,vulkan_cpu_measurements
1,instanced,16.2208,0,0,0,0,cpu-fallback,100,3,121,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,vulkan_cpu_measurements
2,instanced,21.6742,0,0,0,0,cpu-fallback,100,3,121,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,vulkan_cpu_measurements
