frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,measurementGroup
0,beacon,18.3714,0.265875,0,0,0,cpu-fallback,100,21,121,182,100,147456,106,76,0,7501,36,1.34046,6,0,0.032967,0,99,1,vulkan_cpu_measurements
1,beacon,17.8998,0.274541,0,0,0,cpu-fallback,100,21,121,182,100,147456,106,76,0,7502,35,1.31181,0,0,0,0,99,1,vulkan_cpu_measurements
2,beacon,17.4821,0.263083,0,0,0,cpu-fallback,100,21,121,182,100,147456,106,76,0,7495,42,1.68792,0,0,0,0,99,1,vulkan_cpu_measurements
